iter	RMSE
0	14.86335565
1	13.92638408
2	13.16661427
3	12.4110853
4	11.87452182
5	11.32034951
6	10.67176949
7	10.08934956
8	9.530980109
9	9.038499263
10	8.647178367
11	8.272073172
12	7.990605287
13	7.618759292
14	7.256446188
15	6.935064325
16	6.710436294
17	6.450942024
18	6.19425823
19	5.975539931
20	5.768951937
21	5.537571877
22	5.356776196
23	5.190832707
24	5.02688444
25	4.890543973
26	4.735897096
27	4.617996194
28	4.50344706
29	4.386417832
30	4.295508679
31	4.181720932
32	4.093826981
33	4.015478082
34	3.938082746
35	3.866395012
36	3.791120584
37	3.72422005
38	3.650618019
39	3.591378601
40	3.536108544
41	3.479718081
42	3.434243794
43	3.374638104
44	3.318843976
45	3.263408385
46	3.211104446
47	3.155110386
48	3.102661237
49	3.058905599
50	3.013558799
51	2.981843046
52	2.945101764
53	2.915135801
54	2.876817215
55	2.848639658
56	2.814812944
57	2.786869665
58	2.758193728
59	2.721929914
60	2.691383385
61	2.658909153
62	2.616377235
63	2.585689581
64	2.567138612
65	2.53265771
66	2.495289864
67	2.478882561
68	2.443904182
69	2.420506092
70	2.386445923
71	2.371570704
72	2.342092972
73	2.323182258
74	2.301750311
75	2.277060181
76	2.256082138
77	2.236129118
78	2.203129083
79	2.19168007
80	2.175816123
81	2.147787268
82	2.117476704
83	2.093225936
84	2.071972992
85	2.041912302
86	2.011556509
87	1.984072475
88	1.962242239
89	1.945642247
90	1.924513085
91	1.907334872
92	1.885295541
93	1.867946534
94	1.851440978
95	1.847948268
96	1.828367773
97	1.81555986
98	1.803305679
99	1.79332325
