iter	Passed	Remaining
0	1	101
1	1	96
2	6	211
3	7	179
4	10	191
5	12	195
6	13	178
7	15	177
8	16	162
9	17	153
10	18	145
11	19	139
12	19	133
13	22	136
14	23	132
15	24	127
16	25	122
17	26	119
18	27	115
19	28	112
20	28	108
21	29	104
22	30	100
23	30	97
24	31	93
25	31	90
26	32	88
27	33	85
28	34	84
29	34	81
30	35	78
31	35	76
32	36	73
33	36	71
34	37	69
35	38	67
36	38	65
37	39	63
38	39	61
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	52
45	43	51
46	44	49
47	44	48
48	44	46
49	45	45
50	45	44
51	46	42
52	46	41
53	47	40
54	47	39
55	48	38
56	48	36
57	49	35
58	50	34
59	50	33
60	51	32
61	52	31
62	52	31
63	53	30
64	54	29
65	54	28
66	55	27
67	55	26
68	56	25
69	56	24
70	57	23
71	57	22
72	59	21
73	60	21
74	60	20
75	61	19
76	61	18
77	62	17
78	62	16
79	63	15
80	63	14
81	64	14
82	64	13
83	65	12
84	65	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	68	6
91	69	6
92	69	5
93	70	4
94	70	3
95	71	2
96	71	2
97	71	1
98	72	0
99	72	0
7
95	148	6
96	149	4
97	150	3
98	151	1
99	152	0
0	1
99	170	0
